name,operation,key size(B),value size(B),thread,insert size,time(ns),vmrss(KB),file size(B)
Persy,set,8,256,2,37451,76011845821,6763112,32079
Persy,get,8,256,2,37544,76011845821,6763112,32079
Persy,set,8,256,2,37856,77011991994,6763112,32079
Persy,get,8,256,2,37959,77011991994,6763112,32079
Persy,set,8,256,2,38156,78012179415,6763112,32079
Persy,get,8,256,2,38299,78012179415,6763112,32079
Persy,set,8,256,2,38543,79012302405,6763112,32079
Persy,get,8,256,2,38686,79012302405,6763112,32079
Persy,set,8,256,2,39064,80012453367,6763112,32079
Persy,get,8,256,2,39219,80012453367,6763112,32079
Persy,set,8,256,2,39590,81012610380,6763112,32079
Persy,get,8,256,2,39776,81012610380,6763112,32079
Persy,set,8,256,2,40146,82012762615,6763112,32079
Persy,get,8,256,2,40335,82012762615,6763112,32079
Persy,set,8,256,2,40681,83012912736,6763112,32079
Persy,get,8,256,2,40875,83012912736,6763112,32079
Persy,set,8,256,2,41226,84013084768,6763112,32079
Persy,get,8,256,2,41438,84013084768,6763112,32079
Persy,set,8,256,2,41755,85013244978,6763112,32079
Persy,get,8,256,2,42003,85013244978,6763112,32079
Persy,set,8,256,2,42286,86013407552,6763112,32079
Persy,get,8,256,2,42484,86013407552,6763112,32079
Persy,set,8,256,2,42794,87013576969,6763112,32079
Persy,get,8,256,2,42977,87013576969,6763112,32079
Persy,set,8,256,2,43326,88013766494,6763112,32079
Persy,get,8,256,2,43523,88013766494,6763112,32079
Persy,set,8,256,2,43887,89013949096,6763112,32143
Persy,get,8,256,2,44088,89013949096,6763112,32143
Persy,set,8,256,2,44454,90014123984,6763112,32143
Persy,get,8,256,2,44649,90014123984,6763112,32143
Persy,set,8,256,2,45003,91014274626,6763112,32143
Persy,get,8,256,2,45282,91014274626,6763112,32143
Persy,set,8,256,2,45558,92014431078,6763112,32207
Persy,get,8,256,2,45788,92014431078,6763112,32207
Persy,set,8,256,2,46092,93014589144,6763112,32207
Persy,get,8,256,2,46369,93014589144,6763112,32207
Persy,set,8,256,2,46613,94014776415,6763112,32207
Persy,get,8,256,2,46873,94014776415,6763112,32207
Persy,set,8,256,2,47136,95014935974,6763112,32207
Persy,get,8,256,2,47340,95014935974,6763112,32207
Persy,set,8,256,2,47682,96015100862,6763112,32207
Persy,get,8,256,2,47878,96015100862,6763112,32207
Persy,set,8,256,2,48210,97015244170,6763112,32207
Persy,get,8,256,2,48378,97015244170,6763112,32207
Persy,set,8,256,2,48739,98015399280,6763112,32271
Persy,get,8,256,2,48953,98015399280,6763112,32271
Persy,set,8,256,2,49250,99015558789,6763112,32207
Persy,get,8,256,2,49425,99015558789,6763112,32207
Persy,set,8,256,2,49630,100015724839,6763112,37239
Persy,get,8,256,2,49820,100015724839,6763112,37239
Persy,set,8,256,2,50085,101015874279,6763112,40025
Persy,get,8,256,2,50241,101015874279,6763112,40025
Persy,set,8,256,2,50624,102016014070,6763112,40025
Persy,get,8,256,2,50790,102016014070,6763112,40025
Persy,set,8,256,2,51178,103016182335,6763112,40025
Persy,get,8,256,2,51388,103016182335,6763112,40025
Persy,set,8,256,2,51741,104016306507,6763112,40025
Persy,get,8,256,2,51940,104016306507,6763112,40025
Persy,set,8,256,2,52282,105016454253,6763112,40089
Persy,get,8,256,2,52443,105016454253,6763112,40089
Persy,set,8,256,2,52838,106016601258,6763112,40089
Persy,get,8,256,2,52962,106016601258,6763112,40089
Persy,set,8,256,2,53357,107016743764,6763112,40089
Persy,get,8,256,2,53505,107016743764,6763112,40089
Persy,set,8,256,2,53877,108016893694,6763112,40217
Persy,get,8,256,2,54049,108016893694,6763112,40217
Persy,set,8,256,2,54411,109017038326,6763112,40281
Persy,get,8,256,2,54603,109017038326,6763112,40281
Persy,set,8,256,2,54959,110017172016,6763112,40281
Persy,get,8,256,2,55159,110017172016,6763112,40281
Persy,set,8,256,2,55492,111017303953,6763112,40281
Persy,get,8,256,2,55703,111017303953,6763112,40281
Persy,set,8,256,2,56040,112017446168,6763112,40281
Persy,get,8,256,2,56244,112017446168,6763112,40281
Persy,set,8,256,2,56566,113017584387,6763112,40281
Persy,get,8,256,2,56703,113017584387,6763112,40281
Persy,set,8,256,2,57097,114017727254,6763112,40281
Persy,get,8,256,2,57215,114017727254,6763112,40281
Persy,set,8,256,2,57602,115017865492,6763112,40281
Persy,get,8,256,2,57735,115017865492,6763112,40281
Persy,set,8,256,2,58155,116018013268,6763112,40281
Persy,get,8,256,2,58287,116018013268,6763112,40281
Persy,set,8,256,2,58717,117018177395,6763112,40281
Persy,get,8,256,2,58904,117018177395,6763112,40281
Persy,set,8,256,2,59255,118018304212,6763112,40281
Persy,get,8,256,2,59432,118018304212,6763112,40281
Persy,set,8,256,2,59811,119018448592,6763112,40281
Persy,get,8,256,2,60001,119018448592,6763112,40281
Persy,set,8,256,2,60340,120018612098,6763112,40345
Persy,get,8,256,2,60501,120018612098,6763112,40345
Persy,set,8,256,2,60857,121018762169,6763112,40345
Persy,get,8,256,2,60987,121018762169,6763112,40345
Persy,set,8,256,2,61335,122018912219,6763112,40345
Persy,get,8,256,2,61430,122018912219,6763112,40345
Persy,set,8,256,2,61876,123019061458,6763112,40345
Persy,get,8,256,2,61973,123019061458,6763112,40345
Persy,set,8,256,2,62424,124019203293,6763112,40409
Persy,get,8,256,2,62521,124019203293,6763112,40409
Persy,set,8,256,2,62976,125019349928,6763112,40409
Persy,get,8,256,2,63102,125019349928,6763112,40409
Persy,set,8,256,2,63512,126019529825,6763112,40377
Persy,get,8,256,2,63687,126019529825,6763112,40377
Persy,set,8,256,2,64033,127019671660,6763112,40377
Persy,get,8,256,2,64252,127019671660,6763112,40377
Persy,set,8,256,2,64541,128019824075,6763112,40377
Persy,get,8,256,2,64691,128019824075,6763112,40377
Persy,set,8,256,2,65045,129020002779,6763112,40569
Persy,get,8,256,2,65196,129020002779,6763112,40569
Persy,set,8,256,2,65581,130020199007,6763112,40441
Persy,get,8,256,2,65673,130020199007,6763112,40441
Persy,set,8,256,8,479,1000272552,6763112,612
Persy,get,8,256,8,463,1000272552,6763112,612
Persy,set,8,256,8,966,2000423304,6763112,807
Persy,get,8,256,8,927,2000423304,6763112,807
Persy,set,8,256,8,1489,3000572944,6763112,1031
Persy,get,8,256,8,1487,3000572944,6763112,1031
Persy,set,8,256,8,1971,4000716001,6763112,1159
Persy,get,8,256,8,1956,4000716001,6763112,1159
Persy,set,8,256,8,2401,5000873486,6763112,1863
Persy,get,8,256,8,2395,5000873486,6763112,1863
Persy,set,8,256,8,2725,6001014479,6763112,1927
Persy,get,8,256,8,2685,6001014479,6763112,1927
Persy,set,8,256,8,3154,7001176152,6763112,1927
Persy,get,8,256,8,3164,7001176152,6763112,1927
Persy,set,8,256,8,3509,8001349126,6763112,1927
Persy,get,8,256,8,3483,8001349126,6763112,1927
Persy,set,8,256,8,4033,9001508594,6763112,2215
Persy,get,8,256,8,4032,9001508594,6763112,2215
Persy,set,8,256,8,4497,10001655509,6763112,3751
Persy,get,8,256,8,4462,10001655509,6763112,3751
Persy,set,8,256,8,4985,11001805730,6763112,3783
Persy,get,8,256,8,4944,11001805730,6763112,3783
Persy,set,8,256,8,5526,12002017697,6763112,3783
Persy,get,8,256,8,5509,12002017697,6763112,3783
Persy,set,8,256,8,6011,13002172056,6763112,3783
Persy,get,8,256,8,5985,13002172056,6763112,3783
Persy,set,8,256,8,6491,14002346363,6763112,3815
Persy,get,8,256,8,6448,14002346363,6763112,3815
Persy,set,8,256,8,7051,15002482196,6763112,3911
Persy,get,8,256,8,7036,15002482196,6763112,3911
Persy,set,8,256,8,7618,16002627598,6763112,3847
Persy,get,8,256,8,7530,16002627598,6763112,3847
Persy,set,8,256,8,8148,17002794580,6763112,5863
Persy,get,8,256,8,8040,17002794580,6763112,5863
Persy,set,8,256,8,8628,18002940173,6763112,7687
Persy,get,8,256,8,8458,18002940173,6763112,7687
Persy,set,8,256,8,9185,19003087478,6763112,7687
